name,price
600938,19.52
600939,3.36
600941,93.67
600955,19.7
600956,8.27
600958,8.95
600959,3.14
600960,4.18
600961,7.57
600962,10.74
600963,6.95
600965,6.35
600966,6.85
600967,8.57
600968,3.0
600969,6.54
600970,9.89
600971,9.26
600973,5.09
600975,9.83
600976,61.18
600977,12.28
600979,3.38
600980,15.91
600981,2.71
600982,4.13
600983,8.09
600984,4.06
600985,14.3
600986,5.6
600987,8.42
600988,14.47
600989,14.33
600990,20.67
600992,14.74
600993,23.41
600995,9.17
600996,10.56
600997,6.64
600998,7.24
600999,14.05
601000,3.53
601001,11.55
601002,4.71
601003,3.41
601005,1.47
601006,7.17
601007,7.72
601008,4.15
601009,7.77
601010,2.42
601011,3.73
601012,22.87
601015,4.46
601016,3.18
601018,3.42
601019,8.57
601020,8.19
601021,53.63
601022,8.96
601028,11.44
601038,11.88
601058,11.29
601059,16.67
601061,7.46
601065,11.32
601066,24.22
601068,4.78
601069,12.69
601077,4.13
601086,5.29
601088,30.37
601089,18.16
601098,11.28
601099,3.66
601100,57.06
601101,5.72
601106,2.9
601107,3.97
601108,7.91
601111,7.84
601113,3.43
601116,11.11
601117,6.96
601118,4.48
601121,7.17
601126,14.03
601127,89.0
601128,7.26
601133,13.49
601136,21.97
601137,15.43
601138,14.75
601139,6.76
601155,11.76
601156,11.57
601158,5.51
601162,3.19
601163,14.94
601166,15.2
601168,12.45
601169,4.53
601177,9.23
601179,4.63
601186,7.89
601187,5.33
601188,3.81
601198,8.04
601199,5.38
601200,9.46
601208,12.13
601211,14.94
601212,2.74
601216,3.99
601218,3.82
601222,6.58
601225,17.98
601226,5.69
601228,3.08
601229,6.08
601231,14.6
601233,14.3
601236,7.69
601238,10.1
601279,5.94
601288,3.62
601298,5.96
601311,8.19
601318,45.24
601319,5.32
601326,2.96
601328,5.71
601330,6.84
601333,2.59
601336,32.52
601339,5.47
601360,9.05
601366,5.35
601368,5.32
601369,7.81
601375,3.87
601377,6.23
601388,2.69
601390,5.88
601398,4.74
601399,3.0
601456,10.84
601500,3.88
601512,8.1
601515,3.99
601518,2.57
601519,7.63
601528,5.15
601555,7.87
601566,9.89
601567,16.3
601568,4.98
601577,7.34
601579,11.22
601588,2.0
601595,20.14
601598,4.42
601599,3.49
601600,6.03
601601,26.94
601606,12.34
601607,17.91
601608,3.71
601609,6.85
601611,7.03
601615,14.04
601616,3.3
601618,3.27
601619,3.57
601628,32.74
601633,29.97
601636,7.96
601658,4.64
601665,4.01
601666,10.01
601668,5.15
601669,5.18
601677,12.25
601678,4.45
601686,6.25
601688,16.36
601689,67.2
601696,10.79
601698,18.51
601699,19.17
601700,4.84
