name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,,
670,-0.01,-,-,0.25,72.42,-,6.22亿,-20.88,-41.25,-1036.57万,-,-,0,-,-16.31,81662.74,60984.71,0.4682,-0.7431,-14.15%,7.18,0.034818942,
672,0.18,-58.14,-,8.86,-16.47,-,13.90亿,-6.77,-29.48,1.73亿,-49.4,68.08,0,-,9.03,96939.55,96939.55,-0.9595,8.5746,2.01%,8.62,1.027842227,
676,0.04,55.74,186.57,2.76,-8.94,-,6.49亿,-20.76,78.83,4850.73万,55.5,109.26,0,-,-51.88,127650.7,127482.4,2.8669,-1.1272,1.38%,9.3,0.296774194,
677,0.01,-41.11,-,0.49,11.41,-,2.39亿,0.43,-3.71,915.72万,-41.03,28.68,0,-,1.91,86397.79,86397.79,0.8075,-1.5625,2.16%,3.16,0.155063291,
678,-0.05,-,350,1.85,-15.51,-,3.23亿,9.09,57.12,-2177.31万,-,-,0,-,215.11,45961.18,45961.18,1.5953,-0.8548,-2.56%,6.3,0.293650794,
679,-0.02,-,364.76,1.01,-12.04,-,4151.08万,-2.38,17.76,-880.43万,-,-,0,-,107.18,35640,35640,0.1931,-0.738,-2.44%,5.52,0.182971014,
680,0.11,-53.57,-,3.37,10.29,-,23.72亿,1.42,-31.67,1.69亿,-53.61,16.15,0,-,33.77,150085.54,106425.29,1.0265,1.1241,3.34%,5.17,0.651837524,
681,0.08,85.55,-,46.25,5.02,-,1.32亿,-14.87,-22.25,5664.97万,85.66,200.49,0,-,19.97,70057.74,67242.76,2.3013,2.4065,1.66%,14.22,3.252461322,
682,0.06,26.49,-,3.15,9.21,-,11.50亿,21.81,-41.26,7679.89万,26.32,-51.28,0,-,-5.46,134072.7,134059.54,0.8629,1.2353,1.82%,7.4,0.425675676,
683,0.18,-18.18,-,3.66,-16.73,-,25.04亿,-6.62,-4.88,6.52亿,-17.68,107.06,0,-,29.58,362175.86,327682.98,0.0752,2.5319,4.92%,6.85,0.534306569,
685,0.2,53.85,-,10.83,5.32,-,8.75亿,58.09,-53.89,2.89亿,50.29,-25.78,0,-,49.6,147511.14,125317.67,1.2386,7.576,1.81%,7.33,1.477489768,
686,0.16,245.45,387.79,7.87,3.54,-,18.44亿,130.73,66.08,3.73亿,244.09,941.7,0,-,459.83,234045.29,234045.29,2.4551,2.7099,2.03%,7.51,1.047936085,
688,0.02,-60.36,-,2.61,12.45,-,2.84亿,-36.95,260.63,1732.74万,-59.55,-35,0,-,-67.24,111764.79,111764.36,0.241,1.01,0.59%,10.55,0.247393365,
690,0.01,594.12,-,5.2,1.22,-,21.67亿,-2.19,-12.05,2570.87万,585.53,464.82,0,-,103.35,217588.79,217447.14,1.3722,2.2711,0.23%,4.81,1.081081081,
691,0,145.26,100,0.44,7.14,-,1.19亿,69.17,-19.53,138.05万,144.95,137.79,0,-,10.45,32327,32327,0.5678,-1.172,0.96%,4.68,0.094017094,
692,-0.48,-,302.2,-3.98,-,-,10.84亿,-6.64,35.16,-2.57亿,-,-,0,-,-,53283.3,53282.59,0.8555,-6.1501,0.00%,2.59,-1.536679537,
695,-0.11,-,268.42,0.8,-37.75,-,9574.04万,-26.97,14.92,-2364.40万,-,-,0,-,-,22214.75,22172.13,0.3362,-0.5982,-13.31%,11.23,0.071237756,
697,-0.13,-,239.91,-0.73,-,-,3.63亿,24.33,11.6,-8799.70万,-,-,0,-,1000,67161.61,57688.87,3.0244,-4.6744,0.00%,5.15,-0.141747573,
698,-0.13,-,209.07,2.31,-52.6,-,11.47亿,-21.13,-4.13,-1.05亿,-,-,0,-,106.95,81951.44,78571.05,1.6306,-0.7715,-5.55%,4.21,0.548693587,
700,0.07,-28.37,-,3.4,29.02,-,17.68亿,14.16,-25.18,6665.34万,-28.39,-13.45,0,-,10.74,91801.54,91801.54,0.7011,1.3376,2.14%,8.07,0.421313507,
701,-0.05,-,347.73,4.39,-6.16,-,210.15亿,-9.19,10.12,717.58万,-4.52,-83.47,0,-,-3.15,70157.81,41108.43,3.9728,-4.2258,0.29%,5.84,0.751712329,
702,-0.11,-,348.93,0.75,-33.11,-,2.89亿,31.43,105.54,-2916.90万,-,-,0,-,-,34662.49,26663.46,0.6927,-1.1427,-14.51%,5.85,0.128205128,
703,0.01,-95,146.27,6.71,-7.24,-,283.81亿,-14.65,-1.23,3484.63万,-95.24,101.45,0,-,195.53,366630.06,364712.92,2.4755,3.2203,0.14%,7.18,0.93454039,
705,0.06,22.47,-,5.81,4.13,-,10.98亿,13.88,2.31,1856.43万,22.32,-29.18,0,-,1.46,33412.33,28188.58,1.5958,2.5105,0.96%,8.73,0.665521191,
707,0.48,16.98,-,3.65,116.34,-,11.25亿,9.4,5.26,2.25亿,16.98,84.45,0,-,7.13,46414.58,46414.58,2.5445,-0.3539,13.30%,7.42,0.491913747,
708,0.29,-24.09,-,7.52,6.1,-,279.69亿,13.8,22.49,14.80亿,-24.01,-5.23,0,-,6.34,504715.57,504713.89,1.8577,4.1847,3.90%,14.52,0.517906336,
709,0.02,-33.33,-,5.34,10.33,-,318.51亿,2.41,-4.75,2.55亿,-18.25,9.63,0,-,-20.75,1033712.11,1033540.72,2.1918,1.5208,0.46%,2.23,2.394618834,
710,-0.06,-,198.17,6.42,-7.8,-,2.80亿,-10.62,-10.95,-2073.84万,-,-,0,-,44.84,35460.59,30652.08,3.4148,1.8709,-0.91%,10.73,0.59832246,
711,-0.09,-,236.67,-0.59,-,-,5806.56万,-1.93,323.86,-9635.13万,-,-,0,-,100.23,102366.78,98232.29,4.0727,-5.6025,0.00%,1.91,-0.308900524,
712,0,-,336.22,3.18,-6.52,-,1.99亿,204.48,306.47,-248.54万,-,-,0,-,103.53,89600,89524.08,0.7879,0.8651,-0.09%,14.8,0.214864865,
713,0.01,9.24,-,3.15,2.58,-,6.15亿,10.96,-42.98,801.03万,9.72,-85.21,0,-,-22.62,61401.5,61401.5,0.7309,1.2459,0.41%,8.13,0.387453875,
