name,price
001236,11.85
001238,26.55
001255,33.94
001256,18.07
001258,7.97
001259,28.53
001260,21.11
001266,30.77
001267,5.25
001268,26.25
001269,41.52
001270,83.72
001278,22.99
001282,36.2
001283,43.2
001286,8.45
001287,21.92
001288,16.9
001289,20.05
001296,23.25
001298,29.3
001299,16.6
001300,11.99
001301,44.38
001308,24.22
001309,91.49
001311,50.05
001313,9.34
001314,38.25
001316,35.92
001317,35.05
001318,13.28
001319,29.57
001322,12.76
001323,33.46
001324,26.0
001328,29.32
001330,7.24
001331,18.18
001332,33.29
001333,22.6
001336,26.65
001337,28.87
001338,13.94
001339,23.84
001360,17.64
001366,15.0
001367,50.95
001368,24.58
001373,41.61
001378,48.37
001380,34.04
001696,6.45
001872,15.62
001896,4.77
001914,13.56
001965,9.25
001979,10.77
002001,16.2
002002,1.43
002003,10.31
002004,4.79
002005,1.42
002006,15.96
002007,23.23
002008,21.87
002009,13.45
002010,4.95
002011,12.01
002012,5.48
002014,8.55
002015,11.72
002016,6.57
002017,10.68
002019,13.6
002020,14.05
002021,2.21
002022,8.7
002023,9.61
002024,1.87
002025,51.55
002026,9.05
002027,6.88
002028,49.35
002029,6.13
002030,9.71
002031,3.51
002032,49.56
002033,8.06
002034,14.88
002035,5.99
002036,10.32
002037,8.49
002038,11.21
002039,14.31
002040,6.77
002041,15.03
002042,3.93
002043,9.5
002044,6.07
002045,15.46
002046,10.41
002047,2.67
002048,13.51
002049,75.35
002050,26.5
002051,8.71
002052,1.65
002053,9.87
002054,6.97
002055,9.62
002056,14.59
002057,8.43
002058,11.79
002059,5.43
002060,5.24
002061,3.72
002062,4.53
002063,5.79
002064,7.2
002065,6.38
002066,10.64
002067,3.4
002068,10.69
002069,4.37
002072,6.46
002073,6.99
002074,22.95
002075,3.93
002076,2.38
002077,16.27
002078,12.26
002079,12.03
002080,17.35
002081,4.05
002082,6.45
002083,4.86
002084,3.99
002085,5.14
002086,2.44
002087,2.16
002088,15.23
002089,1.28
002090,9.78
002091,7.58
002092,6.63
002093,7.65
002094,3.83
002095,21.52
002096,10.52
002097,5.99
002098,6.72
002099,7.26
002100,7.19
002101,16.46
002102,2.86
002103,5.98
002104,8.15
002105,6.19
002106,10.64
002107,6.42
002108,4.15
002109,4.68
002110,4.6
002111,9.34
002112,9.98
002114,6.91
002115,7.57
002116,10.45
002117,8.57
002119,13.96
002120,9.24
002121,5.45
002122,3.97
002123,15.6
002124,3.99
002125,10.76
002126,17.66
002127,3.45
002128,13.48
002129,17.95
002130,7.17
002131,2.27
002132,3.16
002133,3.47
002134,10.57
002135,5.69
002136,11.11
002137,6.83
002138,28.56
002139,9.7
002140,8.59
002141,2.92
002142,25.06
002144,11.4
002145,4.8
002146,1.87
002148,6.05
002149,14.53
002150,12.93
002151,38.31
002152,11.48
002153,10.68
002154,5.96
002155,11.4
002156,21.23
002157,2.8
002158,22.96
002159,14.97
002160,3.98
002161,5.49
